detailsPageUrl,carat,date,dateSet,price,strikethroughPrice,pricePerCarat,skus,id,shapeCode,shapeName,clarity,color,culet,cut,depth,fluorescence,lxwRatio,polish,symmetry,table,hasVisualization,visualizationImageUrl,v360BaseUrl,measurements,willArriveForHoliday,imageUrl,sellingIndex,sold,quickShip
./diamond-details/LD13976866,1.32,Aug 20,Aug 21,21558,,16332,LD13976866,LD13976866,RD,Round,FL,D,None,Ideal,59.8,None,1.0,Excellent,Excellent,59.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-6203906076/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-6203906076/1/,7.10 x 7.13 x 4.26 mm,False,,0.69155973,False,False
./diamond-details/LD13639164,1.71,Aug 7,Aug 10,21565,,12611,LD13639164,LD13639164,RD,Round,VVS1,D,None,Ideal,61.9,Faint,1.01,Excellent,Excellent,57.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-7353002115/still_230x230.jpg,https://bluenile.v360.in/29/imaged/gia-7353002115/1/,7.63 x 7.67 x 4.74 mm,False,,0.33777308,False,False
./diamond-details/LD13729647,1.82,Aug 20,Aug 21,21568,,11851,LD13729647,LD13729647,RD,Round,VS2,D,None,Ideal,62.4,None,1.01,Excellent,Excellent,59.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-5343973406/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-5343973406/1/,7.79 x 7.73 x 4.84 mm,False,,0.1000508,False,False
./diamond-details/LD02953688,2.01,Jul 24,Jul 27,21576,,10734,LD02953688,LD02953688,RD,Round,SI1,G,None,Ideal,62.5,Faint,1.01,Excellent,Excellent,55.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-2136950762/still_230x230.jpg,https://bluenile.v360.in/9/imaged/gia-2136950762/1/,8.02 x 8.07 x 5.03 mm,False,,0.07460919,False,True
./diamond-details/LD13924186,1.71,Aug 20,Aug 21,21579,,12619,LD13924186,LD13924186,RD,Round,VVS2,D,None,Ideal,62.5,None,1.01,Excellent,Excellent,59.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-1359230101/still_230x230.jpg,https://bluenile.v360.in/11/imaged/gia-1359230101/1/,7.58 x 7.64 x 4.76 mm,False,,0.32371613,False,False
./diamond-details/LD13947379,2.01,Aug 3,Aug 4,21581,,10737,LD13947379,LD13947379,RD,Round,VS2,G,None,Ideal,62.9,None,1.01,Excellent,Excellent,57.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-2356197499/still_230x230.jpg,https://bluenile.v360.in/11/imaged/gia-2356197499/1/,7.98 x 8.03 x 5.04 mm,False,,0.19399448,False,False
./diamond-details/LD13701967,2.0,Aug 3,Aug 4,21583,,10792,LD13701967,LD13701967,RD,Round,SI1,D,None,Ideal,60.4,Medium,1.0,Excellent,Excellent,59.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-2344341682/still_230x230.jpg,https://bluenile.v360.in/46/imaged/gia-2344341682/1/,8.12 x 8.14 x 4.91 mm,False,,0.08926197,False,False
./diamond-details/LD12076904,2.0,Aug 6,Aug 7,21584,,10792,LD12076904,LD12076904,RD,Round,VS1,E,None,Very Good,65.2,None,1.0,Excellent,Very Good,57.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-6322216548/still_230x230.jpg,https://bluenile.v360.in/69/imaged/gia-6322216548/1/,7.83 x 7.86 x 5.12 mm,False,,0.38681984,False,False
./diamond-details/LD13873507,1.4,Aug 20,Aug 21,21588,,15420,LD13873507,LD13873507,RD,Round,IF,D,None,Ideal,62.3,None,1.01,Excellent,Excellent,56.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-5202974078/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-5202974078/1/,7.11 x 7.15 x 4.44 mm,False,,0.427959,False,False
./diamond-details/LD13939815,3.01,Aug 20,Aug 21,21598,,7175,LD13939815,LD13939815,RD,Round,SI2,K,None,Ideal,61.9,Faint,1.01,Excellent,Excellent,59.0,False,,,9.19 x 9.24 x 5.71 mm,False,,0.13382751,False,False
./diamond-details/LD13635808,2.51,Jul 28,Jul 29,21601,,8606,LD13635808,LD13635808,RD,Round,SI2,G,None,Ideal,62.5,None,1.0,Excellent,Excellent,57.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-6341845576/still_230x230.jpg?v=2,https://bluenile.v360.in/23/imaged/gia-6341845576/2/,8.65 x 8.61 x 5.39 mm,False,,0.06497374,False,True
./diamond-details/LD14007061,2.02,Aug 20,Aug 21,21608,,10697,LD14007061,LD14007061,RD,Round,VS2,G,None,Ideal,61.9,None,1.01,Excellent,Excellent,59.0,False,,,8.10 x 8.05 x 5.00 mm,False,,0.14081955,False,False
